countries,year,Value
Netherlands,2022,17728.56
Netherlands Antilles,2022,191.163
New Zealand,2022,5120.348
Nicaragua,2022,6730.654
Niger,2022,25311.97
Nigeria,2022,223150.9
North Korea,2022,26328.85
North Macedonia,2022,1840.233
Norway,2022,5465.092
Oman,2022,4730.226
Pakistan,2022,243700.7
Palestinian Territories,2022,5305.27
Panama,2022,4400.773
Papua New Guinea,2022,10203.17
Paraguay,2022,6760.464
Peru,2022,33475.44
Philippines,2022,113964.4
Poland,2022,36804.74
Portugal,2022,10480.81
Puerto Rico,2022,3240.968
Qatar,2022,2892.455
Reunion,2022,871.54
Romania,2022,19050.02
Russia,2022,145579.9
Rwanda,2022,13651.03
Saint Kitts and Nevis,2022,46.709
Saint Lucia,2022,178.781
Saint Vincent/Grenadines,2022,102.046
Samoa,2022,215.261
Sao Tome and Principe,2022,226.305
Saudi Arabia,2022,32175.23
Senegal,2022,17651.1
Serbia,2022,6664.449
Seychelles,2022,125.522
Sierra Leone,2022,8276.807
Singapore,2022,5678.174
Slovakia,2022,5431.012
Slovenia,2022,2113.3
Solomon Islands,2022,781.066
Somalia,2022,17801.9
South Africa,2022,62378.41
South Korea,2022,51782.52
South Sudan,2022,11021.18
Spain,2022,47860.91
Sri Lanka,2022,22834.96
Sudan,2022,49383.35
Suriname,2022,623.164
Sweden,2022,10495.59
Switzerland,2022,8815.385
Syria,2022,22462.17
Taiwan,2022,23306.14
Tajikistan,2022,10182.22
Tanzania,2022,64711.82
Thailand,2022,71735.34
The Bahamas,2022,397.538
Timor-Leste,2022,1369.295
Togo,2022,9089.738
Tonga,2022,105.042
Trinidad and Tobago,2022,1495.921
Tunisia,2022,12119.33
Turkiye,2022,87058.47
Turkmenistan,2022,7230.193
U.S. Virgin Islands,2022,86.507
Uganda,2022,47312.72
Ukraine,2022,41167.3
United Arab Emirates,2022,10242.09
United Kingdom,2022,67685.81
United States,2022,333765.9
Uruguay,2022,3390.913
Uzbekistan,2022,34938.95
Vanuatu,2022,313.046
Venezuela,2022,28213.02
Vietnam,2022,99680.66
Yemen,2022,38222.88
Zambia,2022,20152.94
Zimbabwe,2022,16069.06
Afghanistan,2023,41454.76
Albania,2023,2811.655
Algeria,2023,46164.22
Angola,2023,36749.91
Antigua and Barbuda,2023,93.316
Argentina,2023,45538.4
Armenia,2023,2943.393
Aruba,2023,107.939
Australia,2023,26716.33
Austria,2023,9135.007
Azerbaijan,2023,10318.21
Bahrain,2023,1593.949
Bangladesh,2023,171467
Barbados,2023,282.336
Belarus,2023,9115.68
Belgium,2023,11761.04
Belize,2023,411.106
Benin,2023,14111.03
Bermuda,2023,64.698
Bhutan,2023,786.385
Bolivia,2023,12244.16
Bosnia and Herzegovina,2023,3185.073
Botswana,2023,2480.244
Brazil,2023,211140.7
British Virgin Islands,2023,38.985
Brunei,2023,458.949
Bulgaria,2023,6404.863
Burkina Faso,2023,23025.78
Burma,2023,54133.8
Burundi,2023,13689.45
Cabo Verde,2023,522.331
Cambodia,2023,17423.88
Cameroon,2023,28372.69
Canada,2023,39968.53
Cayman Islands,2023,73.038
Central African Republic,2023,5152.421
Chad,2023,19319.06
Chile,2023,19911.27
China,2023,1422585
Colombia,2023,52321.16
Comoros,2023,850.387
Congo-Brazzaville,2023,6182.885
Congo-Kinshasa,2023,105789.7
Costa Rica,2023,5105.525
Cote d'Ivoire,2023,31165.65
Croatia,2023,3857.814
Cuba,2023,11019.93
Cyprus,2023,926.8544
Czechia,2023,10876.29
Denmark,2023,5950.526
Djibouti,2023,1152.944
Dominica,2023,66.51
Dominican Republic,2023,11331.26
Ecuador,2023,17980.08
Egypt,2023,114535.8
El Salvador,2023,6309.624
Equatorial Guinea,2023,1847.549
Eritrea,2023,3470.39
Estonia,2023,1371.291
Eswatini,2023,1230.506
Ethiopia,2023,128691.7
Fiji,2023,924.145
Finland,2023,5585.872
France,2023,68310.57
Gabon,2023,2484.789
"Gambia, The",2023,2697.845
Georgia,2023,3807.492
Germany,2023,84532.27
Ghana,2023,33787.91
Greece,2023,10405.69
Greenland,2023,55.922
Grenada,2023,117.081
Guadeloupe,2023,376.517
Guatemala,2023,18124.84
Guinea,2023,14405.47
Guinea-Bissau,2023,2153.339
Guyana,2023,826.353
Haiti,2023,11637.4
Honduras,2023,10644.85
Hong Kong,2023,7442.734
Hungary,2023,9584.564
Iceland,2023,387.558
India,2023,1438070
Indonesia,2023,281190.1
Iran,2023,90608.7
Iraq,2023,45074.05
Ireland,2023,5321.574
Israel,2023,9256.314
Italy,2023,58980.97
Jamaica,2023,2839.786
Japan,2023,124371
Jordan,2023,11439.21
Kazakhstan,2023,20330.1
Kenya,2023,55339
Kiribati,2023,132.53
Kosovo,2023,1756.374
Kuwait,2023,4838.782
Kyrgyzstan,2023,7073.516
Laos,2023,7664.993
Latvia,2023,1881.886
Lebanon,2023,5773.493
Lesotho,2023,2311.472
Liberia,2023,5493.031
Libya,2023,7305.659
Lithuania,2023,2873.959
Luxembourg,2023,667.7576
Macau,2023,713.912
Madagascar,2023,31195.93
Malawi,2023,21104.48
Malaysia,2023,35126.3
Maldives,2023,525.994
Mali,2023,23769.13
Malta,2023,550.9744
Martinique,2023,346.002
Mauritania,2023,5022.441
Mauritius,2023,1273.588
Mexico,2023,129739.7
Moldova,2023,3490.921
Mongolia,2023,3431.932
Montenegro,2023,633.552
Morocco,2023,37712.5
Mozambique,2023,33635.16
Namibia,2023,2963.095
Nepal,2023,29694.61
Netherlands,2023,17898.81
Netherlands Antilles,2023,192.077
New Zealand,2023,5188.239
Nicaragua,2023,6823.613
Niger,2023,26159.87
Nigeria,2023,227882.9
North Korea,2023,26418.2
North Macedonia,2023,1831.802
Norway,2023,5527.254
Oman,2023,5049.269
Pakistan,2023,247504.5
Palestinian Territories,2023,5409.202
Panama,2023,4458.759
Papua New Guinea,2023,10389.63
Paraguay,2023,6844.146
Peru,2023,33845.61
Philippines,2023,114891.2
Poland,2023,36662.29
Portugal,2023,10593.56
Puerto Rico,2023,3242.023
Qatar,2023,2979.082
Reunion,2023,874.883
Romania,2023,18989.47
Russia,2023,145440.5
Rwanda,2023,13954.47
Saint Kitts and Nevis,2023,46.758
Saint Lucia,2023,179.285
Saint Vincent/Grenadines,2023,101.323
Samoa,2023,216.663
Sao Tome and Principe,2023,230.871
Saudi Arabia,2023,33441.2
Senegal,2023,18077.57
Serbia,2023,6623.183
Seychelles,2023,127.951
Sierra Leone,2023,8460.512
Singapore,2023,5922.461
Slovakia,2023,5430.474
Slovenia,2023,2118.434
Solomon Islands,2023,800.005
Somalia,2023,18358.62
South Africa,2023,63212.39
South Korea,2023,51748.74
South Sudan,2023,11483.37
Spain,2023,48419.32
Sri Lanka,2023,22971.62
Sudan,2023,50042.79
Suriname,2023,628.886
Sweden,2023,10534
Switzerland,2023,8960.816
Syria,2023,23594.62
Taiwan,2023,23273.39
Tajikistan,2023,10389.8
Tanzania,2023,66617.6
Thailand,2023,71702.43
The Bahamas,2023,399.44
Timor-Leste,2023,1384.286
Togo,2023,9304.337
Tonga,2023,104.597
Trinidad and Tobago,2023,1502.932
Tunisia,2023,12200.43
Turkiye,2023,87270.51
Turkmenistan,2023,7364.438
U.S. Virgin Islands,2023,85.701
Uganda,2023,48656.6
Ukraine,2023,37639.76
United Arab Emirates,2023,10642.08
United Kingdom,2023,68403.48
United States,2023,336445
Uruguay,2023,3388.081
Uzbekistan,2023,35652.31
Vanuatu,2023,320.409
Venezuela,2023,28300.86
Vietnam,2023,100352.2
Yemen,2023,39390.8
Zambia,2023,20723.96
Zimbabwe,2023,16340.82
